datetime.utcnow;Btn_name;Action;In_Time_Interval
2021-01-26 16:58:29.183931;Btn1;pressed;True
2021-01-26 16:58:32.380580;Btn2;pressed;True
2021-01-26 16:58:35.327275;Btn1;pressed;True
2021-01-26 16:58:38.410722;Btn2;pressed;True
2021-01-26 16:58:41.239210;Btn1;pressed;True
2021-01-26 16:58:44.348659;Btn2;pressed;True
2021-01-26 16:58:47.209129;Btn1;pressed;True
2021-01-26 16:58:50.380440;Btn2;pressed;True
2021-01-26 16:58:53.332659;Btn1;pressed;True
2021-01-26 16:58:56.415841;Btn2;pressed;True
2021-01-26 16:58:59.372262;Btn1;pressed;True
2021-01-26 16:59:02.430707;Btn2;pressed;True
2021-01-26 16:59:05.410800;Btn1;pressed;True
2021-01-26 16:59:08.569648;Btn2;pressed;True
2021-01-26 16:59:11.491238;Btn1;pressed;True
2021-01-26 16:59:14.575254;Btn2;pressed;True
2021-01-26 16:59:17.430645;Btn1;pressed;True
2021-01-26 16:59:20.548049;Btn2;pressed;True
2021-01-26 16:59:23.378487;Btn1;pressed;True
2021-01-26 16:59:26.459260;Btn2;pressed;True
2021-01-26 16:59:29.380627;Btn1;pressed;True
2021-01-26 16:59:32.491586;Btn2;pressed;True
2021-01-26 16:59:35.332274;Btn1;pressed;True
2021-01-26 16:59:38.410932;Btn2;pressed;True
2021-01-26 16:59:41.403262;Btn1;pressed;True
2021-01-26 16:59:44.557610;Btn2;pressed;True
2021-01-26 16:59:47.439610;Btn1;pressed;True
2021-01-26 16:59:50.579210;Btn2;pressed;True
2021-01-26 16:59:53.480820;Btn1;pressed;True
2021-01-26 16:59:56.582798;Btn2;pressed;True
2021-01-26 16:59:59.579258;Btn1;pressed;True
2021-01-26 17:00:02.639268;Btn2;pressed;True
2021-01-26 17:00:05.606612;Btn1;pressed;True
2021-01-26 17:00:08.807248;Btn2;pressed;True
2021-01-26 17:00:11.615268;Btn1;pressed;True
2021-01-26 17:00:14.849971;Btn2;pressed;True
2021-01-26 17:00:17.740949;Btn1;pressed;True
2021-01-26 17:00:20.891247;Btn2;pressed;True
2021-01-26 17:00:23.723532;Btn1;pressed;True
2021-01-26 17:00:26.867211;Btn2;pressed;True
2021-01-26 17:00:29.707253;Btn1;pressed;True
2021-01-26 17:00:32.851213;Btn2;pressed;True
2021-01-26 17:00:35.752356;Btn1;pressed;True
2021-01-26 17:00:38.843249;Btn2;pressed;True
2021-01-26 17:00:41.651296;Btn1;pressed;True
2021-01-26 17:00:44.929267;Btn2;pressed;True
2021-01-26 17:00:47.917440;Btn1;pressed;True
2021-01-26 17:00:50.995819;Btn2;pressed;True
2021-01-26 17:00:53.875230;Btn1;pressed;True
